,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
268,12-8C,25.0,border,infarct,sbrt,False,537219.0,477595.0,5879800.25,12.311268438739937,0.8890136052522342,1014814,10.944885139952236,5.7939684020914175,0.5293768119083891,9.453904360799122,12,8C,8,mid,3.0
269,12-8D,4.06,border,infarct,sbrt,,,,,,,,,,,,12,8D,8,mid,3.0
270,12-9A,32.97,border,infarct,sbrt,,,,,,,,,,,,12,9A,9,mid,3.0
271,12-9B,36.99,border,infarct,sbrt,,,,,,,,,,,,12,9B,9,mid,3.0
272,12-9C,3.05,healthy,infarct,sbrt,,,,,,,,,,,,12,9C,9,mid,3.0
273,13-1,2.88,healthy,infarct,sbrt,,,,,,,,,,,,13,1,1,apex,3.0
274,13-11A,9.07,border,infarct,sbrt,,,,,,,,,,,,13,11A,11,base,3.0
275,13-11B,0.73,healthy,infarct,sbrt,,,,,,,,,,,,13,11B,11,base,3.0
276,13-12A,0.71,healthy,infarct,sbrt,,,,,,,,,,,,13,12A,12,base,3.0
277,13-12B,1.63,healthy,infarct,sbrt,,,,,,,,,,,,13,12B,12,base,3.0
278,13-14A,1.34,healthy,infarct,sbrt,False,467691.0,1853157.0,23557651.75,12.712172659952719,3.96235334868535,2320848,50.37011990823001,10.150450072559686,0.20151729023184628,3.0961595718461528,13,14A,14,base,3.0
279,13-14B,3.95,healthy,infarct,sbrt,,,,,,,,,,,,13,14B,14,base,3.0
280,13-2A,6.04,border,infarct,sbrt,False,695585.0,1259137.0,17639156.0,14.008925160645743,1.810184233415039,1954722,25.35873545289217,9.023869378868197,0.3558485554467592,5.660918023125539,13,2A,2,apex,3.0
281,13-2B,0.97,healthy,infarct,sbrt,,,,,,,,,,,,13,2B,2,apex,3.0
282,13-3A,23.99,border,infarct,sbrt,,,,,,,,,,,,13,3A,3,apex,3.0
283,13-3C,1.05,healthy,infarct,sbrt,,,,,,,,,,,,13,3C,3,apex,3.0
284,13-4A,32.59,border,infarct,sbrt,,,,,,,,,,,,13,4A,4,apex,3.0
285,13-4B,21.1,border,infarct,sbrt,,,,,,,,,,,,13,4B,4,apex,3.0
286,13-4C,1.25,healthy,infarct,sbrt,,,,,,,,,,,,13,4C,4,apex,3.0
