,Fibrosis Percentage,scar,annotation_area,expanded_analysis,group,study,location,sample,section,slide_name,subject,total_connexin_area,total_connexin_area_per_cell,total_connexin_count_per_cell,total_connexins,total_connexins_per_annotation_area,total_mean_plaque_size,total_nuclei,total_nuclei_area_per_annotation_area,total_nuclei_count_per_annotation_area
30,2.41,Healthy,923959,FALSE,infarct,sbrt,mid,5A,5,11-5A,11,6127844.25,12.83543964,0.935333127,446543,6.632160356,13.72285368,477416,11.9504675,0.51670691
81,71.15,Center,,,infarct,sbrt,mid,5A,5,11-5A,11,,,,,,,,,
31,10.45,Border,1248154,FALSE,infarct,sbrt,mid,5B,5,11-5B,11,8749820.5,14.76638302,1.12468513,661695,7.05641912,13.22334384,588338,9.586562636,0.477870519
82,57.88,Border,,,infarct,sbrt,mid,5B,5,11-5B,11,,,,,,,,,
83,18.36,Border,,,infarct,sbrt,mid,5C,5,11-5C,11,,,,,,,,,
84,45.12,Border,,,infarct,sbrt,mid,5D,5,11-5D,11,,,,,,,,,
85,37.21,Border,,,infarct,sbrt,mid,6A,6,11-6A,11,,,,,,,,,
86,17.06,Border,,,infarct,sbrt,mid,6B,6,11-6B,11,,,,,,,,,
87,3.85,Healthy,,,infarct,sbrt,mid,6C,6,11-6C,11,,,,,,,,,
88,22.47,Border,,,infarct,sbrt,mid,6D,6,11-6D,11,,,,,,,,,
89,46.37,Center,,,infarct,sbrt,mid,7A,7,11-7A,11,,,,,,,,,
90,13.87,Border,,,infarct,sbrt,mid,7B,7,11-7B,11,,,,,,,,,
91,2.16,Healthy,,,infarct,sbrt,mid,7C,7,11-7C,11,,,,,,,,,
92,22.64,Border,,,infarct,sbrt,mid,7D,7,11-7D,11,,,,,,,,,
32,6.82,Healthy,765769,FALSE,infarct,sbrt,mid,8A,8,11-8A,11,5502782.25,15.97171316,1.222628892,421236,7.185955882,13.06341872,344533,8.607484437,0.449917664
93,24.25,Border,,,infarct,sbrt,mid,8A,8,11-8A,11,,,,,,,,,
33,47.41,Center,749268,FALSE,infarct,sbrt,mid,8B,8,11-8B,11,5483105.5,17.03748454,1.328177338,427442,7.317949652,12.82771815,321826,7.349813418,0.429520545
94,25.39,Border,,,infarct,sbrt,mid,8B,8,11-8B,11,,,,,,,,,
95,2.3,Healthy,,,infarct,sbrt,mid,8C,8,11-8C,11,,,,,,,,,
96,8.49,Border,,,infarct,sbrt,mid,8D,8,11-8D,11,,,,,,,,,
97,30.89,Border,,,infarct,sbrt,mid,9A,9,11-9A,11,,,,,,,,,
98,43.2,Border,,,infarct,sbrt,mid,9B,9,11-9B,11,,,,,,,,,
99,3.11,Healthy,,,infarct,sbrt,mid,9C,9,11-9C,11,,,,,,,,,
100,22.53,Border,,,infarct,sbrt,mid,9D,9,11-9D,11,,,,,,,,,
151,29.09,Border,,,infarct,sbrt,base,10A,10,12-10A,12,,,,,,,,,
34,33.05,Center,2563207,FALSE,infarct,sbrt,base,14A,14,12-14A,12,27495311.25,72.57562234,5.779872654,2190381,10.70190205,12.55275281,378967,2.363999669,0.147458633
152,10.86,Healthy,,,infarct,sbrt,base,14A,14,12-14A,12,,,,,,,,,
153,2.79,Healthy,,,infarct,sbrt,base,14B,14,12-14B,12,,,,,,,,,
120,42.62,Center,,,infarct,sbrt,apex,1A,1,12-1A,12,,,,,,,,,
35,6.46,Healthy,279599,FALSE,infarct,sbrt,apex,2A,2,12-2A,12,1384852.5,7.519424988,0.518157137,95429,4.952995182,14.51186222,184170,14.39537159,0.658693343
121,44.34,Center,,,infarct,sbrt,apex,2A,2,12-2A,12,,,,,,,,,
36,31.03,Border,971250,FALSE,infarct,sbrt,apex,2B,2,12-2B,12,7836084.75,22.2683102,1.76006411,619356,8.068040927,12.65198811,351894,6.848213127,0.362310425
122,40.38,Center,,,infarct,sbrt,apex,2B,2,12-2B,12,,,,,,,,,
123,22.9,Healthy,,,infarct,sbrt,apex,2C,2,12-2C,12,,,,,,,,,
124,47.09,Center,,,infarct,sbrt,apex,3A,3,12-3A,12,,,,,,,,,
125,44.97,Center,,,infarct,sbrt,apex,3B,3,12-3B,12,,,,,,,,,
126,34.91,Border,,,infarct,sbrt,apex,3C,3,12-3C,12,,,,,,,,,
127,19.57,Healthy,,,infarct,sbrt,apex,3D,3,12-3D,12,,,,,,,,,
128,46.89,Center,,,infarct,sbrt,apex,4A,4,12-4A,12,,,,,,,,,
129,45.49,Center,,,infarct,sbrt,apex,4B,4,12-4B,12,,,,,,,,,
130,32.98,Border,,,infarct,sbrt,apex,4C,4,12-4C,12,,,,,,,,,
131,18.97,Healthy,,,infarct,sbrt,apex,4D,4,12-4D,12,,,,,,,,,
132,24.37,Border,,,infarct,sbrt,mid,5A,5,12-5A,12,,,,,,,,,
37,23.72,Border,1105740,FALSE,infarct,sbrt,mid,5B,5,12-5B,12,13267584,13.6879689,1.05911143,1026584,11.99882793,12.92401206,969288,15.60128376,0.876596668
133,37.4,Border,,,infarct,sbrt,mid,5B,5,12-5B,12,,,,,,,,,
38,12.33,Healthy,728482,FALSE,infarct,sbrt,mid,5C,5,12-5C,12,4865785.5,13.27943861,0.988133674,362067,6.679348975,13.4389091,366415,9.728775042,0.502984288
134,40.87,Border,,,infarct,sbrt,mid,5C,5,12-5C,12,,,,,,,,,
135,22.17,Healthy,,,infarct,sbrt,mid,5D,5,12-5D,12,,,,,,,,,
136,45.99,Center,,,infarct,sbrt,mid,6A,6,12-6A,12,,,,,,,,,
137,37.49,Border,,,infarct,sbrt,mid,6B,6,12-6B,12,,,,,,,,,
138,16.91,Healthy,,,infarct,sbrt,mid,6C,6,12-6C,12,,,,,,,,,
139,33.22,Border,,,infarct,sbrt,mid,6D,6,12-6D,12,,,,,,,,,
140,39.49,Border,,,infarct,sbrt,mid,7A,7,12-7A,12,,,,,,,,,
141,43.34,Center,,,infarct,sbrt,mid,7B,7,12-7B,12,,,,,,,,,
